swc_node_id,neuron_section_index,source_section,source_region,parent_section,parent_x,depth,swc_type,prox_x,prox_y,prox_z,prox_diam,dist_x,dist_y,dist_z,dist_diam,length_um
245,243,p0b1b2b2b1b1b2[1],distDend,p0b1b2b2b1b1b2[0],1,13,4,34.135,87.229,54.198,0.745,36.332,93.407,58.766,0.745,7.99131509828
246,244,p0b1b2b2b1b1b1[1],distDend,p0b1b2b2b1b1b1[0],1,13,4,28.14,86.13,56.642,0.47,28.72,79.72,57.495,0.47,6.49246555632
247,245,p0b1b2b1b2[0],distDend,p0b1b2b1[4],1,13,4,4.76,106.44,51.54,0.958,1.216,113.62,54.27,0.958,8.45962386871
248,246,p0b1b2b1b1[0],distDend,p0b1b2b1[4],1,13,4,4.76,106.44,51.54,0.955,9.071,105.96,56.073,0.955,6.27401067898
249,247,axIN[2],axNode,axIN[1],1,14,2,0,125,0,1.5,0,175,0,1.5,50
250,248,p3b2b1b2b2[3],distDend,p3b2b1b2b2[2],1,14,3,40.987,-67.629,78.24,0.692,45.437,-73.072,82.906,0.692,8.43802731686
251,249,p3b2b1b1b1[4],distDend,p3b2b1b1b1[3],1,14,3,6.195,-79.596,68.864,0.665,7.36,-85.04,72.829,0.665,6.83488010136
252,250,p3b1b2b2[5],distDend,p3b1b2b2[4],1,14,3,14.906,-99.618,31.47,0.682,20.6,-103.7,35.385,0.682,8.02568283699
253,251,p3b1b2b1[5],distDend,p3b1b2b1[4],1,14,3,-20.902,-98.022,52.612,0.47,-19.65,-100.33,63.105,0.47,10.8165344265
254,252,p2b1b2b2[3],distDend,p2b1b2b2[2],1,14,3,-74.158,-29.892,17.544,1.041,-79.866,-25.943,17.01,1.041,6.96139504697
255,253,p2b1b2b1b2[2],distDend,p2b1b2b1b2[1],1,14,3,-55.128,-42.739,14.467,0.7,-56.86,-48.38,18.195,0.7,6.97987743445
256,254,p2b1b1b2[8],distDend,p2b1b1b2[7],1,14,3,-25.602,-66.031,53.265,0.943,-28.84,-73.55,57.288,0.943,9.12165193372
257,255,p1b2b2b2b2[2],distDend,p1b2b2b2b2[1],1,14,3,8.049,42.177,71.037,0.47,10.35,36.86,72.3,0.47,5.92960867174
258,256,p1b2b2b1[4],distDend,p1b2b2b1[3],1,14,3,-22.154,51.147,81.933,0.546,-24.278,45.236,80.667,0.546,6.40734367738
259,257,p1b2b1b2[5],distDend,p1b2b1b2[4],1,14,3,25.203,69.013,63.965,0.523,30.049,72.62,71.644,0.523,9.77042506752
260,258,p1b2b1b1b2b2[0],distDend,p1b2b1b1b2[2],1,14,3,-3.72,92.61,78.075,0.838,2.09,98.984,82.155,0.838,9.54098401634
261,259,p1b2b1b1b2b1[0],distDend,p1b2b1b1b2[2],1,14,3,-3.72,92.61,78.075,0.7,-1.86,96.07,84.03,0.7,7.13394876629
262,260,p1b2b1b1b1b2[1],distDend,p1b2b1b1b1b2[0],1,14,3,-6.895,98.815,71.011,1.365,-9.605,105.06,73.485,1.365,7.24325900407
263,261,p1b1b2b2[2],distDend,p1b1b2b2[1],1,14,3,-41.195,98.342,50.175,0.627,-45.678,104.16,51.005,0.627,7.39157040148
264,262,p1b1b2b1[2],distDend,p1b1b2b1[1],1,14,3,-50.47,80.734,42.87,1.017,-52.505,86.652,37.935,1.017,7.96982898185
265,263,p1b1b1b1[2],distDend,p1b1b1b1[1],1,14,3,-48.95,64.083,49.611,0.999,-51.963,68.036,45.175,0.999,6.66201726206
266,264,p0b2b2b2[7],distDend,p0b2b2b2[6],1,14,3,-25.147,81.111,55.965,0.769,-28.961,88.419,54.6,0.769,8.355637917
267,265,p0b2b2b1b2b2[3],distDend,p0b2b2b1b2b2[2],1,14,3,-12.416,63.626,82.314,1.078,-13.767,66.833,90.807,1.078,9.17829499417
268,266,p0b2b1b2[10],distDend,p0b2b1b2[9],1,14,3,12.286,113.38,40.995,1.034,14.064,122.34,45.163,1.034,10.0406726866
269,267,p0b2b1b1b2b2[0],distDend,p0b2b1b1b2[4],1,14,3,-79.36,63.02,44.91,0.728,-82.123,59.551,38.1,0.728,8.12676011705
270,268,p0b2b1b1b2b1[0],distDend,p0b2b1b1b2[4],1,14,3,-79.36,63.02,44.91,1.05,-82.09,63.65,45.075,1.05,2.80660381957
271,269,p0b1b2b2b2[5],distDend,p0b1b2b2b2[4],1,14,3,2.161,108.49,30.795,0.47,2.67,114.74,30.795,0.47,6.27069222654
272,270,p0b1b2b2b1b2b2[1],distDend,p0b1b2b2b1b2b2[0],1,14,3,30.889,101.01,40.923,1.011,35.177,98.26,46.547,1.011,7.58807090109
273,271,p0b1b2b2b1b2b1[1],distDend,p0b1b2b2b1b2b1[0],1,14,3,25.393,109.84,38.991,0.93,19.65,115.08,35.22,0.93,8.64060703886
274,272,p0b1b2b2b1b1b2[2],distDend,p0b1b2b2b1b1b2[1],1,14,3,36.332,93.407,58.766,0.735,40.057,98.452,61.791,0.735,6.96263419978
275,273,p0b1b2b1b2[1],distDend,p0b1b2b1b2[0],1,14,3,1.216,113.62,54.27,0.7,-0.35,121.99,54.6,0.7,8.52162871756
276,274,p0b1b2b1b1[1],distDend,p0b1b2b1b1[0],1,14,3,9.071,105.96,56.073,0.7,10.35,109.55,61.92,0.7,6.97935168909
277,275,axIN[3],axNode,axIN[2],1,15,6,0,175,0,1.5,0,225,0,1.5,50
278,276,p3b2b1b2b2[4],distDend,p3b2b1b2b2[3],1,15,4,45.437,-73.072,82.906,0.559,50.904,-76.171,87.169,0.559,7.59375131276
279,277,p3b2b1b1b1[5],distDend,p3b2b1b1b1[4],1,15,4,7.36,-85.04,72.829,0.47,9.07,-89.62,77.565,0.47,6.80662882784
280,278,p3b1b2b2[6],distDend,p3b1b2b2[5],1,15,4,20.6,-103.7,35.385,0.691,23.93,-107.56,43.388,0.691,9.48875697866
281,279,p3b1b2b1b2[0],distDend,p3b1b2b1[5],1,15,4,-19.65,-100.33,63.105,0.488,-23.479,-104.28,62.76,0.488,5.51205642206
282,280,p3b1b2b1b1[0],distDend,p3b1b2b1[5],1,15,4,-19.65,-100.33,63.105,0.437,-20.084,-106.29,61.92,0.437,6.09214092089
283,281,p2b1b2b2[4],distDend,p2b1b2b2[3],1,15,4,-79.866,-25.943,17.01,0.988,-85.868,-21.744,19.905,0.988,7.87633353788
284,282,p2b1b1b2[9],distDend,p2b1b1b2[8],1,15,4,-28.84,-73.55,57.288,0.976,-28.95,-81.62,60.363,0.976,8.63670220628
285,283,p1b2b2b1[5],distDend,p1b2b2b1[4],1,15,4,-24.278,45.236,80.667,0.519,-27.273,40.076,76.2,0.519,7.45316805124
